고등교육기관 주소록,,,,,,,,,,,,
,,,,,,,,,,,,
* 2018년 10월 1일 기준,,,,,,,,,,,,
"* 일반대학, 교육대학, 산업대학, 방송통신대학교, 기술대학, 각종학교(전문, 대학과정), 사이버대학(전문, 대학과정), 원격대학(전문, 대학과정), 사내대학(전문,대학과정), 전문대학, 기능대학, 전공대학, 일반대학원, 특수대학원, 전문대학원이 포함됨",,,,,,,,,,,,
* 본 자료는 해당기관에서 작성한 자료임,,,,,,,,,,,,
연도,학교종류,시도,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2018,대학교,강원,강릉원주대학교,Gangneung-Wonju National University,본교,기존,국립,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",033-640-7001,033-643-7110,www.gwnu.ac.kr
2018,대학교,강원,강릉원주대학교,Gangneung-Wonju National University,제2캠퍼스,기존,국립,26403,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",033-760-8114,033-760-8019,www.gwnu.ac.kr
2018,일반대학원,강원,강릉원주대학교대학원,Gangneung-Wonju National University Graduate School,본교,기존,국립,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",033-640-2077,,www.gwnu.ac.kr
2018,일반대학원,강원,강릉원주대학교대학원,Gangneung-Wonju National University Graduate School,제2캠퍼스,기존,국립,26403,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",033-640-2077,,www.gwnu.ac.kr
2018,특수대학원,강원,강릉원주대학교경영정책과학대학원,Gangneung Wonju Graduate School of Management Policy & Advanced Science ,본교,기존,국립,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",033-640-2081,,www.gwnu.ac.kr
2018,특수대학원,강원,강릉원주대학교경영정책과학대학원,Gangneung Wonju Graduate School of Management Policy & Advanced Science,제2캠퍼스,기존,국립,26403,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",033-640-2081,,www.gwnu.ac.kr
2018,특수대학원,강원,강릉원주대학교교육대학원,Gangneung-Wonju National University Graduate School of Education,본교,기존,국립,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",033-640-2087,,www.gwnu.ac.kr
2018,특수대학원,강원,강릉원주대학교교육대학원,Gangneung-Wonju National University Graduate School of Education,제2캠퍼스,기존,국립,26403,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",033-640-2087,,www.gwnu.ac.kr
2018,특수대학원,강원,강릉원주대학교산업대학원,Gangneung-Wonju National University Graduate School of Industrial Technology,본교,기존,국립,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교치과병원)",033-640-2085,,www.gwnu.ac.kr
2018,특수대학원,강원,강릉원주대학교산업대학원,Gangneung-Wonju National University Graduate School of Industrial Technology,제2캠퍼스,기존,국립,26403,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",033-640-2085,,www.gwnu.ac.kr
2018,대학교,강원,강원대학교,Kangwon National University,본교,기존,국립,24341,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",033-250-6114,033-251-9556,www.kangwon.ac.kr/
2018,대학교,강원,강원대학교,Kangwon National University,제2캠퍼스,기존,국립,25913,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",033-570-6114,033-572-8620,www.kangwon.ac.kr/
